,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
35,Kailua,90,US,1547942220,71,21.39,-157.74,82.94,12.75
36,Saint-Philippe,90,CA,1547942400,69,45.36,-73.48,-7.61,13.87
37,Plaisance-du-Touch,0,FR,1547942400,87,43.57,1.3,42.8,9.17
38,Itumba,76,TZ,1547944103,97,-9.4,33.18,61.49,2.73
39,Fairbanks,90,US,1547942280,82,64.84,-147.72,1.04,3.18
40,Attur,0,IN,1547944106,97,11.6,78.6,52.22,3.51
41,Barrow,0,AR,1547943822,51,-38.31,-60.23,72.29,14.25
42,Vardo,90,US,1547942100,88,39.62,-77.74,35.6,6.93
43,Korop,68,UA,1547944109,91,51.57,32.95,20.31,8.43
44,Port Hardy,75,CA,1547938800,81,50.7,-127.42,44.6,3.36
45,Tadine,80,NC,1547944112,97,-21.55,167.88,78.32,19.06
46,East London,92,ZA,1547944113,100,-33.02,27.91,64.77,14.14
47,Arlit,92,NE,1547944114,39,18.74,7.39,67.02,2.51
48,Mahibadhoo,100,MV,1547944115,100,3.78,72.97,80.07,8.99
49,Sabang,92,PH,1547944117,96,13.72,123.58,76.79,15.7
50,Qazigund,76,IN,1547944118,83,33.59,75.17,30.21,1.61
51,Mar del Plata,0,AR,1547943877,24,-46.43,-67.52,83.27,20.29
52,Pisco,0,PE,1547942400,88,-13.71,-76.2,71.6,14.99
53,Udachnyy,76,RU,1547944121,63,66.42,112.4,-14.88,3.74
54,Hobart,75,AU,1547942400,38,-42.88,147.33,75.2,6.93
55,Bereda,40,ES,1547942400,76,43.27,-7.54,51.8,11.41
56,Sinnamary,68,GF,1547944125,94,5.38,-52.96,79.53,11.45
57,San Patricio,88,PY,1547944126,74,-26.98,-56.83,73.77,6.76
58,Jamestown,92,AU,1547943757,77,-33.21,138.6,63.51,6.42
59,Saskylakh,68,RU,1547944129,67,71.97,114.09,-23.07,12.46
60,Nanortalik,24,GL,1547943882,94,60.14,-45.24,25.98,8.43
61,Chokurdakh,12,RU,1547943678,0,70.62,147.9,-41.88,2.73
62,Khatanga,64,RU,1547944132,68,71.98,102.47,-9.71,10.11
63,Puerto Ayora,75,EC,1547942400,83,-0.74,-90.35,78.8,8.05
64,Marquette,90,US,1547942160,78,46.54,-87.4,8.6,11.41
65,Brae,44,GB,1547941800,100,60.4,-1.35,42.8,6.93
66,Klaksvik,56,FO,1547941800,86,62.23,-6.59,41.0,17.22
67,Cape Town,0,ZA,1547942400,59,-33.93,18.42,60.8,19.46
68,Punta Arenas,40,CL,1547942400,78,-53.16,-70.91,53.6,27.51
69,Fortuna,75,ES,1547942400,81,38.18,-1.13,50.0,1.95
70,Kiunga,20,PG,1547943760,81,-6.12,141.3,81.51,2.51
71,Hithadhoo,80,MV,1547943878,100,-0.6,73.08,79.35,5.64
72,Vaini,0,IN,1547942400,72,15.34,74.49,59.0,2.51
73,Yumen,76,CN,1547944145,86,40.29,97.04,11.45,1.95
74,Kushima,75,JP,1547942400,77,31.5,131.29,60.8,12.75
75,Kungurtug,8,RU,1547944148,33,50.6,97.53,-26.81,2.39
76,Butaritari,44,KI,1547944149,100,3.07,172.79,83.72,12.57
77,Belinskiy,68,RU,1547944150,90,52.97,43.41,19.1,11.68
78,Mindelo,40,PT,1547940600,76,41.31,-8.72,55.4,17.22
79,Castro,0,CL,1547942400,72,-42.48,-73.76,64.4,4.7
80,Gravdal,88,NO,1547941800,100,59.79,5.78,33.8,10.29
81,Luderitz,0,NA,1547943766,53,-26.65,15.16,64.5,21.3
82,Norman Wells,75,CA,1547942400,64,65.28,-126.83,-2.21,5.82
83,Avera,90,US,1547943300,54,33.19,-82.53,69.8,17.22
84,Riyadh,0,SA,1547942400,52,24.63,46.72,44.6,2.39
85,Te Anau,80,NZ,1547944160,81,-45.41,167.72,52.71,16.49
86,Touros,40,BR,1547942400,78,-5.2,-35.46,82.4,10.29
87,Mozarlandia,76,BR,1547944162,72,-14.74,-50.57,79.67,4.18
88,Yellowknife,75,CA,1547942400,69,62.45,-114.38,-9.41,18.34
89,Atuona,92,PF,1547943671,100,-9.8,-139.03,78.9,16.6
90,Alcobendas,90,ES,1547942400,100,40.54,-3.64,39.2,2.24
91,Lalmohan,0,BD,1547944167,92,22.34,90.74,59.01,7.2
92,Tuatapere,92,NZ,1547944168,100,-46.13,167.69,56.09,25.77
93,Fruitvale,92,CA,1547943893,76,49.12,-117.55,33.63,2.06
94,Harnosand,36,SE,1547941800,92,62.63,17.94,12.2,1.12
95,Egvekinot,12,RU,1547944172,41,66.32,-179.17,-27.17,2.95
96,Manuk Mangkaw,32,PH,1547944173,100,4.8,119.85,81.69,14.58
97,Kalemie,56,CD,1547944174,100,-5.95,29.2,73.59,6.64
98,Mayo,90,CA,1547942400,84,63.59,-135.9,-0.41,2.62
99,Port Elizabeth,90,US,1547943360,82,39.31,-74.98,44.06,10.29
100,Datong,0,CN,1547944178,61,40.09,113.3,-5.16,3.62
101,Divnogorsk,0,RU,1547942400,61,55.96,92.38,15.8,5.41
102,Pasighat,0,IN,1547944181,55,28.06,95.33,48.66,2.17
103,Hualmay,24,PE,1547944182,81,-11.1,-77.61,71.16,4.63
104,Brenham,1,US,1547943300,51,30.17,-96.4,50.0,23.04
105,Rawson,0,AR,1547944184,12,-43.3,-65.11,88.4,12.12
106,Marzuq,0,YE,1547944185,90,14.4,46.47,45.69,2.95
107,Jacareacanga,20,BR,1547944187,81,-6.22,-57.76,80.52,3.74
108,Hamilton,90,CA,1547942400,92,43.26,-79.87,15.8,24.16
109,Payo,36,ID,1547944189,85,-3.75,103.64,76.07,5.41
110,Faanui,24,PF,1547943686,100,-16.48,-151.75,83.13,12.57
111,Yongchang,80,CN,1547944191,87,38.06,102.59,8.34,2.51
112,Chuncheng,80,CN,1547944192,95,22.17,111.79,55.95,2.51
113,Qaanaaq,0,GL,1547943689,100,77.48,-69.36,-25.91,10.45
114,Katete,0,UG,1547944195,87,-0.78,29.75,57.48,2.73
115,Sale,90,GB,1547941800,93,53.42,-2.32,39.2,2.24
116,Presidencia Roque Saenz Pena,0,AR,1547944197,84,-26.79,-60.44,68.64,7.54
117,Talcahuano,90,CL,1547942400,87,-36.72,-73.12,59.0,4.7
118,Kloulklubed,75,PW,1547941800,83,7.04,134.26,82.4,9.17
119,Avarua,75,CK,1547942400,74,-21.21,-159.78,86.0,8.05
120,Constitucion,40,MX,1547941440,21,23.99,-104.67,62.6,10.29
121,Strezhevoy,75,RU,1547942400,85,60.73,77.6,19.4,17.9
122,Bilma,0,NE,1547944206,47,18.69,12.92,49.92,3.06
123,Opotiki,48,NZ,1547944208,90,-38.01,177.29,72.74,15.26
124,Bitung,20,ID,1547942400,78,1.44,125.19,82.4,5.41
125,Cururupu,92,BR,1547944299,87,-1.82,-44.87,78.95,5.41
126,Thompson,5,CA,1547942400,67,55.74,-97.86,-25.61,3.36
127,Salalah,20,OM,1547941800,46,17.01,54.1,73.4,17.22
128,Talnakh,64,RU,1547944216,84,69.49,88.39,-0.03,12.57
129,Rundu,44,NA,1547944217,91,-17.91,19.77,67.11,3.06
130,Haverhill,1,GB,1547942160,100,52.08,0.44,35.6,3.36
131,Villa Bruzual,20,VE,1547944220,51,9.33,-69.12,81.69,4.07
132,Caucaia,40,BR,1547942400,94,-3.73,-38.66,78.8,3.36
133,Kysyl-Syr,76,RU,1547944222,43,63.9,122.77,-27.75,10.67
134,Narsaq,76,GL,1547941800,78,60.91,-46.05,17.6,4.7
135,Trairi,64,BR,1547944225,100,-3.28,-39.27,80.12,7.2
136,Leningradskiy,24,RU,1547944226,97,69.38,178.42,-8.13,19.17
137,Rocha,36,UY,1547944228,66,-34.48,-54.34,64.23,9.55
138,Coihaique,0,CL,1547942400,35,-45.58,-72.07,69.8,5.82
139,Batticaloa,64,LK,1547944230,100,7.71,81.69,75.39,9.55
140,Waddan,92,LY,1547944231,78,29.16,16.14,55.64,10.56
141,Kumluca,56,TR,1547944083,100,36.37,30.29,33.54,1.05
142,Bredasdorp,0,ZA,1547942400,76,-34.53,20.04,48.2,1.12
143,Tacuati,0,PY,1547944235,71,-23.46,-56.74,76.38,4.18
144,Vao,68,EE,1547944236,85,59.1,26.19,25.62,16.15
145,Ampanihy,20,MG,1547944237,94,-24.69,44.75,71.75,2.95
146,Chuy,48,UY,1547944239,81,-33.69,-53.46,66.3,13.47
147,Arraial do Cabo,36,BR,1547943761,87,-22.97,-42.02,79.67,21.07
148,Beringovskiy,92,RU,1547944241,100,63.05,179.32,2.27,6.64
149,Qaqortoq,32,GL,1547941800,78,60.72,-46.03,17.6,4.7
150,Birao,0,CF,1547944243,44,10.3,22.78,62.7,7.09
151,Lavrentiya,56,RU,1547944244,100,65.58,-170.99,1.68,8.55
152,Georgetown,75,GY,1547942400,83,6.8,-58.16,80.6,9.17
153,Ordzhonikidze,56,UA,1547944247,100,44.96,35.36,32.6,10.45
154,Opochka,92,RU,1547944248,90,56.71,28.66,28.14,21.18
155,San Cristobal,75,EC,1547942400,82,-0.39,-78.55,59.0,11.41
156,Vestmannaeyjar,68,IS,1547944251,100,63.44,-20.27,35.39,13.58
157,Bridlington,0,GB,1547941800,93,54.08,-0.19,37.4,1.12
158,Labe,0,NG,1547944253,56,7.7,8.47,70.89,6.53
159,Albany,90,US,1547943660,87,42.65,-73.75,24.98,8.05
160,Kakogawa,75,JP,1547942760,87,34.79,134.85,46.4,4.7
161,Mahina,0,ML,1547944257,42,13.76,-10.85,63.51,8.66
162,Upernavik,24,GL,1547944258,100,72.79,-56.15,-8.13,8.21
163,Roald,80,NO,1547941800,100,62.58,6.12,32.0,8.05
164,Kieta,64,PG,1547944261,97,-6.22,155.63,82.55,11.68
165,Kaitangata,0,NZ,1547944262,62,-46.28,169.85,62.25,28.68
166,Cabimas,0,VE,1547944263,72,10.39,-71.44,85.65,9.22
167,Ndioum,0,SN,1547944264,33,16.51,-14.65,58.74,10.0
168,Sawakin,40,SD,1547938800,88,19.1,37.33,68.0,4.52
169,Polunochnoye,8,RU,1547944267,74,60.87,60.43,15.27,7.2
170,Airai,32,TL,1547944268,87,-8.93,125.41,75.44,1.5
171,Isiro,0,CD,1547944269,83,2.77,27.62,69.36,2.39
172,Paraiso,40,MX,1547941440,21,24.01,-104.61,62.6,10.29
173,Hay River,90,CA,1547942400,71,60.82,-115.79,3.2,9.17
174,San Ramon,0,NI,1547944273,80,12.92,-85.84,67.38,1.72
175,Cape Coast,12,GH,1547944274,93,5.11,-1.24,74.0,2.73
176,Miastko,64,PL,1547944276,96,54.0,16.98,26.57,6.64
177,New Norfolk,75,AU,1547942400,38,-42.78,147.06,75.2,6.93
178,Esperance,20,TT,1547942400,78,10.24,-61.45,77.0,5.82
179,Los Llanos de Aridane,44,ES,1547942400,67,28.66,-17.92,62.6,9.17
180,Iqaluit,40,CA,1547942400,74,63.75,-68.52,-22.01,2.24
181,Seoul,0,KR,1547942400,39,37.57,126.98,32.0,16.11
182,Chapais,1,CA,1547942400,66,49.78,-74.86,-32.81,2.51
183,Sault Sainte Marie,1,CA,1547942400,67,46.49,-84.36,-4.01,2.95
184,Tura,0,IN,1547944285,76,25.52,90.21,48.17,2.62
185,Iracoubo,92,GF,1547944286,76,5.48,-53.21,78.95,5.97
186,Guerrero Negro,0,MX,1547944288,31,27.97,-114.04,77.42,8.66
187,Gwembe,0,ZM,1547944289,96,-16.5,27.61,69.9,5.75
188,Coquimbo,20,CL,1547942400,77,-29.95,-71.34,62.6,4.7
189,Laurel,75,US,1547941980,44,45.67,-108.77,42.08,19.46
190,Srednekolymsk,0,RU,1547944293,83,67.46,153.71,-39.09,2.39
191,Verkhovye,76,RU,1547944294,90,52.81,37.24,22.38,11.45
192,Ponta do Sol,36,BR,1547944295,86,-20.63,-46.0,71.07,2.95
193,Mahebourg,75,MU,1547938800,94,-20.41,57.7,77.0,3.36
194,Arkhangelsk,90,RU,1547942400,84,64.54,40.54,3.2,8.95
195,Half Moon Bay,40,US,1547942160,54,37.46,-122.43,68.0,1.72
196,Pochutla,40,MX,1547941800,69,15.74,-96.47,82.4,5.19
197,Gat,8,SN,1547942400,34,14.69,-16.54,68.0,4.7
198,Nishihara,40,JP,1547942400,60,35.74,139.53,42.8,1.12
199,Mingyue,32,CN,1547944304,54,43.11,128.91,6.0,9.44
200,Tuktoyaktuk,90,CA,1547942400,77,69.44,-133.03,1.4,11.41
201,Marsh Harbour,80,BS,1547944306,100,26.54,-77.06,72.65,12.46
202,Shelburne,90,CA,1547942520,77,44.08,-80.2,5.0,6.93
203,Bambanglipuro,12,ID,1547944309,91,-7.95,110.28,75.75,4.07
204,San Jose,88,PH,1547944159,97,15.79,120.99,72.02,2.62
205,Healesville,75,AU,1547942400,64,-37.65,145.52,69.8,14.99
206,Ahipara,80,NZ,1547944313,78,-35.17,173.16,73.14,10.0
207,Coria,92,ES,1547944314,98,39.98,-6.54,37.59,2.73
208,Bandar-e Lengeh,0,IR,1547942400,30,26.56,54.88,57.2,11.41
209,Havre-Saint-Pierre,20,CA,1547942400,56,50.23,-63.6,-16.61,10.29
210,Reichenau,0,DE,1547943600,79,51.25,13.96,24.8,5.82
211,Ribeira Grande,100,PT,1547943871,100,38.52,-28.7,61.35,3.96
212,Beloha,32,MG,1547944320,89,-25.17,45.06,75.44,3.06
213,Brokopondo,20,SR,1547942400,88,5.06,-54.98,77.0,8.05
214,Katsuura,75,JP,1547942400,87,33.93,134.5,44.6,5.82
215,Ileza,80,RU,1547944324,85,61.05,43.9,13.56,11.12
216,Freeport,75,BS,1547942400,73,26.54,-78.7,71.6,6.93
217,Umea,0,SE,1547944327,100,63.83,20.26,15.32,12.12
218,Tessalit,0,ML,1547944328,22,20.2,1.01,46.5,9.44
219,Takoradi,12,GH,1547944329,100,4.89,-1.75,80.07,4.63
220,Cidreira,100,BR,1547944330,96,-30.17,-50.22,69.72,13.69
221,Bethel,90,US,1547942160,80,60.79,-161.76,14.0,4.7
222,Evreux,90,FR,1547942400,93,49.02,1.15,35.6,3.36
223,Ossora,88,RU,1547944334,96,59.24,163.07,31.02,17.6
224,Goryachegorsk,56,RU,1547944335,52,55.41,88.92,26.97,11.68
225,Berlevag,44,NO,1547944337,100,70.86,29.09,17.07,10.45
226,Meulaboh,68,ID,1547944338,100,4.14,96.13,76.47,5.08
227,Muriti,40,TZ,1547938800,82,-1.99,32.93,68.0,4.18
228,Mitsamiouli,20,KM,1547944340,97,-11.38,43.28,83.13,13.13
229,Port Lincoln,20,AU,1547943814,79,-34.72,135.86,70.94,10.67
230,Acajutla,0,SV,1547938200,39,13.59,-89.83,84.2,3.36
231,Caravelas,0,BR,1547944344,100,-17.73,-39.27,81.06,17.83
232,Tungor,0,RU,1547944345,84,53.39,142.95,-2.37,17.49
233,Labuhan,76,ID,1547944346,94,-2.54,115.51,76.25,2.51
234,Byron Bay,40,AU,1547942400,58,-28.65,153.62,87.8,4.7
235,Haapiti,40,PF,1547942400,59,-17.57,-149.87,89.6,11.41
236,Praia da Vitoria,20,PT,1547938800,93,38.73,-27.07,55.4,7.43
237,Oshnaviyeh,0,IR,1547942400,85,37.04,45.1,17.6,6.93
238,Pevek,44,RU,1547944352,100,69.7,170.27,-21.27,6.64
239,Provideniya,76,RU,1547943759,100,64.42,-173.23,14.69,3.18
240,Middelburg,8,ZA,1547944354,78,-25.77,29.46,58.47,14.58
241,Ihosy,92,MG,1547944355,98,-22.4,46.13,67.74,2.73
242,Champerico,40,MX,1547942040,40,16.38,-93.6,86.0,11.41
243,Vostok,48,RU,1547944358,76,46.45,135.83,-4.8,2.62
244,Aykhal,80,RU,1547944359,58,65.95,111.51,-13.71,4.07
245,Belaya Gora,12,RU,1547944360,0,68.54,146.19,-49.49,2.95
246,Siocon,92,PH,1547944361,100,11.03,124.04,77.82,21.07
247,Monte Carmelo,20,BR,1547944363,92,-18.73,-47.5,71.34,3.06
248,Quesnel,40,CA,1547942400,64,52.98,-122.49,39.2,3.36
249,Methoni,56,GR,1547941800,62,36.82,21.7,53.6,4.7
250,The Valley,20,AI,1547942400,73,18.22,-63.06,77.0,8.05
251,Whakatane,48,NZ,1547944368,90,-37.96,176.99,72.74,15.26
252,Nara,75,JP,1547942760,87,34.68,135.8,46.4,2.24
253,Iralaya,5,HN,1547942400,78,15.0,-83.23,78.8,6.93
254,Maumere,32,ID,1547944371,100,-8.63,122.22,80.39,2.62
255,Riviere-au-Renard,75,CA,1547942400,58,49.0,-64.4,-5.81,9.17
256,Dicabisagan,100,PH,1547944374,100,17.08,122.42,73.68,10.0
257,Lincoln,40,GB,1547941800,87,53.23,-0.54,37.4,5.82
258,Nanpiao,0,CN,1547944376,33,41.1,120.75,10.68,6.42
259,Lata,12,IN,1547944378,74,30.78,78.62,29.27,2.17
260,Sechura,0,PE,1547944379,73,-5.56,-80.82,76.38,11.45
261,Dogondoutchi,8,NE,1547944380,49,13.64,4.03,69.32,8.43
262,High Level,75,CA,1547942400,84,58.52,-117.13,-0.41,11.41
263,Honolulu,75,US,1547942220,53,21.3,-157.86,82.94,14.99
264,Garachine,56,PA,1547944384,89,8.06,-78.36,81.15,3.51
265,Nagato,75,JP,1547942940,76,34.35,131.14,51.8,19.46
266,Ola,8,RU,1547944386,100,59.58,151.3,11.0,20.07
267,Carnarvon,0,ZA,1547944387,38,-30.97,22.13,52.62,12.46
268,Husavik,0,CA,1547944389,50,50.56,-96.99,-30.27,7.54
269,Jinsha,92,CN,1547942400,82,24.49,118.41,62.6,4.47
270,Plouzane,20,FR,1547942400,93,48.38,-4.62,42.8,3.36
271,Khuzdar,36,PK,1547944393,86,27.8,66.62,46.82,3.06
272,Torzhok,76,RU,1547944394,88,57.04,34.97,22.74,13.58
273,Hervey Bay,40,AU,1547942400,51,-25.3,152.85,86.0,17.22
274,Ponta Pora,56,BR,1547944116,76,-22.54,-55.73,77.24,4.63
275,Kodiak,1,US,1547942100,76,39.95,-94.76,12.2,16.11
276,Hanmer Springs,0,NZ,1547944399,56,-42.52,172.83,60.27,14.47
277,Hirara,75,JP,1547942400,78,24.8,125.28,73.4,1.12
278,Ilulissat,80,GL,1547941800,84,69.22,-51.1,3.2,17.22
279,Kuching,75,MY,1547942400,94,1.56,110.34,77.0,1.12
280,Camacha,75,PT,1547942400,77,33.08,-16.33,62.6,14.99
281,Salym,80,RU,1547944405,81,60.06,71.48,19.32,7.09
282,Erenhot,0,CN,1547944406,75,43.65,111.97,-5.07,12.24
283,Velikiy Ustyug,68,RU,1547944408,80,60.76,46.3,15.05,8.21
284,Portland,90,US,1547942160,82,45.52,-122.67,51.98,2.51
285,Ratne,76,UA,1547944410,88,51.67,24.52,23.15,4.63
286,Kutum,8,SD,1547944411,65,14.2,24.66,49.02,3.4
287,Zarya,80,RU,1547944413,99,45.67,39.64,33.45,7.99
288,Ayan,56,TR,1547944414,90,40.67,33.6,16.22,1.39
289,Smithers,75,CA,1547942400,74,54.78,-127.17,35.6,5.82
290,Thai Binh,75,VN,1547942400,100,20.45,106.33,66.2,3.36
291,Am Timan,0,TD,1547944417,47,11.04,20.28,63.06,3.18
292,Soto la Marina,0,MX,1547944419,35,23.77,-98.21,63.74,18.16
293,Sao Joao da Barra,12,BR,1547944243,96,-21.64,-41.05,81.2,28.57
294,Yevlax,90,AZ,1547938800,92,40.61,47.15,28.4,1.61
295,Broome,8,GB,1547942160,100,52.47,1.45,28.58,2.24
296,Warmbad,80,DE,1547943600,85,50.67,13.08,17.6,1.12
297,Ust-Kan,44,RU,1547944425,52,50.93,84.77,-2.42,2.39
298,Dikson,64,RU,1547944426,100,73.51,80.55,8.7,9.1
299,Scarborough,32,GB,1547941800,93,54.28,-0.41,35.6,1.12
300,Kahului,40,US,1547942160,62,20.89,-156.47,80.96,21.92
301,Walvis Bay,0,NA,1547942400,82,-22.95,14.51,62.6,8.05
302,Dharchula,0,IN,1547944431,69,29.85,80.53,29.13,1.72
303,Kalawit,80,PH,1547944432,81,7.91,122.53,75.84,5.64
304,Rincon,40,US,1547943300,66,32.3,-81.24,68.0,4.7
305,Ariyalur,20,IN,1547942400,82,11.14,79.07,68.0,6.93
306,Port Blair,40,IN,1547942400,88,11.67,92.75,77.0,4.7
307,Mragowo,56,PL,1547944436,90,53.86,21.31,26.34,11.45
308,Matay,64,EG,1547944438,87,28.42,30.79,40.56,4.74
309,Shingu,75,JP,1547942400,76,33.72,135.99,57.2,3.36
310,Bonneville,75,FR,1547943600,92,46.08,6.41,30.2,2.24
311,Amapa,20,HN,1547942400,78,15.09,-87.97,78.8,11.41
312,Sena Madureira,76,BR,1547944443,94,-9.07,-68.66,76.25,2.95
313,Daru,36,SL,1547944444,89,7.99,-10.85,74.58,3.51
314,Nunoa,44,PE,1547944445,76,-14.48,-70.64,40.92,3.06
315,Awbari,44,LY,1547944446,66,26.59,12.77,56.27,8.77
316,Alpine,90,US,1547943360,67,43.07,-85.69,19.94,14.99
317,Havoysund,32,NO,1547941800,79,71.0,24.66,19.4,17.22
318,Isangel,92,VU,1547944450,100,-19.55,169.27,78.18,17.6
319,Kamiiso,75,JP,1547942400,74,41.82,140.65,28.4,4.7
320,Presidente Olegario,24,BR,1547944453,76,-18.42,-46.42,70.89,0.94
321,Evensk,68,RU,1547944454,100,61.92,159.24,14.82,20.62
322,Makakilo City,40,US,1547942220,54,21.35,-158.09,82.94,9.17
323,Mpika,92,ZM,1547944456,95,-11.84,31.4,63.02,12.12
324,Pipri,0,IN,1547944457,92,24.21,83.02,46.82,2.95
325,Dingle,92,PH,1547944459,99,11.0,122.67,73.14,9.1
326,Saravan,20,AM,1547942400,79,39.72,45.65,19.4,4.7
327,Warrnambool,64,AU,1547944461,96,-38.38,142.48,65.49,6.42
328,Hasaki,75,JP,1547942400,59,35.73,140.83,37.4,1.12
329,Kangalassy,32,RU,1547942400,63,62.35,129.97,-49.01,4.47
330,Sungaipenuh,56,ID,1547944465,91,-2.08,101.38,67.07,1.39
331,Torbay,20,CA,1547942400,73,47.66,-52.73,19.4,12.75
332,Kimbe,92,PG,1547944467,100,-5.56,150.15,75.21,4.07
333,Watertown,75,US,1547943300,55,44.9,-97.12,-0.94,3.36
334,Terrak,90,NO,1547941800,100,65.09,12.37,26.6,5.82
335,Huarmey,36,PE,1547944471,71,-10.07,-78.15,70.85,3.62
336,Mehran,0,IR,1547942400,92,33.12,46.17,23.0,6.93
337,Lompoc,1,US,1547942160,63,34.64,-120.46,73.04,10.29
338,Guangyuan,0,CN,1547944475,65,32.43,105.86,23.91,4.07
339,Haines Junction,36,CA,1547944476,84,60.75,-137.51,-8.22,2.39
340,Wasilla,1,US,1547942400,83,61.58,-149.44,15.08,3.06
341,Tilichiki,88,RU,1547944478,81,60.47,166.1,22.65,6.98
342,Petropavlovsk-Kamchatskiy,90,RU,1547942400,86,53.05,158.65,33.8,11.18
343,Okhotsk,36,RU,1547944481,100,59.36,143.24,-11.55,12.57
344,Renqiu,0,CN,1547944482,40,38.71,116.1,20.67,7.65
345,Ixtapa,40,MX,1547941680,83,20.71,-105.21,77.0,9.17
346,Liyang,0,CN,1547942400,80,31.42,119.48,39.2,4.47
347,Nemuro,75,JP,1547942400,79,43.32,145.57,19.4,2.24
348,Komsomolskiy,80,RU,1547944487,89,67.55,63.78,14.1,11.23
349,Saint-Michel-des-Saints,68,CA,1547944225,52,46.68,-73.92,-10.47,3.51
350,Bayburt,48,TR,1547944489,69,40.26,40.22,2.54,3.74
351,Rantepao,64,ID,1547944491,100,-2.97,119.9,69.59,2.73
352,Vidim,0,CZ,1547942400,85,50.47,14.53,21.2,6.93
353,Kulhudhuffushi,0,MV,1547944493,100,6.62,73.07,79.35,3.18
354,Porto Nacional,75,BR,1547938800,88,-10.7,-48.41,77.0,6.2
355,Fallon,90,US,1547942160,84,46.84,-105.12,17.96,5.82
356,Clyde River,1,CA,1547942700,74,70.47,-68.59,-25.61,3.36
357,Keetmanshoop,0,NA,1547942400,11,-26.57,18.15,69.8,8.05
358,Moengo,92,SR,1547944499,73,5.62,-54.4,79.67,5.08
359,Oktyabrskoye,0,RU,1547942400,78,56.73,85.44,15.8,11.18
360,San Remo,90,AU,1547942400,78,-33.21,151.52,77.0,10.29
361,Monte Alegre,8,BR,1547944503,96,-2.0,-54.07,75.66,2.73
362,Campbell River,75,CA,1547942400,93,50.02,-125.24,46.4,3.36
363,Vila Velha,40,BR,1547942400,94,-3.71,-38.6,78.8,3.36
364,Grand Gaube,75,MU,1547938800,94,-20.01,57.66,77.0,3.36
365,Faya,0,SA,1547942400,81,18.39,42.45,53.6,4.7
366,Quatre Cocos,75,MU,1547938800,94,-20.21,57.76,77.0,3.36
367,Nesbyen,0,NO,1547944510,68,60.57,9.1,5.55,0.94
368,Kamenka,68,RU,1547944512,90,53.19,44.05,19.19,12.12
369,Natal,20,BR,1547942400,78,-5.81,-35.21,82.4,8.05
370,Namibe,20,AO,1547944514,100,-15.19,12.15,74.94,5.41
371,Omboue,80,GA,1547944497,100,-1.57,9.26,81.2,6.76
372,Iesolo,0,IT,1547943600,74,45.53,12.64,33.8,3.36
